equipes,no_cidade,lat,long
"77","Alta Floresta D'Oeste","-11.9355403047646","-61.9998238962936"
"131","Ariquemes","-9.90846286656719","-63.0332692780483"
"23","Cabixi","-13.4997634596963","-60.5443135812009"
"106","Cacoal","-11.4338650286851","-61.4429442118224"
"43","Cerejeiras","-13.1950330320399","-60.8184261646814"
"46","Colorado do Oeste","-13.1305638414552","-60.5550674630789"
"23","Corumbiara","-12.9975202364834","-60.9487011706614"
"29","Costa Marques","-12.4360138777141","-64.2316539391172"
"58","Espigão D'Oeste","-11.5285546333472","-61.0201731132846"
"78","Guajará-Mirim","-10.7738837406704","-65.3239518196923"
"92","Jaru","-10.4359487678844","-62.4762307081317"
"193","Ji-Paraná","-10.882051318349","-61.9450945826841"
"81","Machadinho D'Oeste","-9.42556248","-61.9995925724466"
"51","Nova Brasilândia D'Oeste","-11.7213254138558","-62.3082301630189"
"78","Ouro Preto do Oeste","-10.7235739008135","-62.2610551904363"
"69","Pimenta Bueno","-11.67753699","-61.183665673642"
"424","Porto Velho","-8.76889179","-63.8314456543611"
"45","Presidente Médici","-11.1732050162267","-61.9094386835297"
"11","Rio Crespo","-9.70553670973949","-62.9000103659589"
"124","Rolim de Moura","-11.7222589133808","-61.7857809351854"
"26","Santa Luzia D'Oeste","-11.9084233324689","-61.7733054630545"
"150","Vilhena","-12.7413734718029","-60.1385838660987"
"34","São Miguel do Guaporé","-11.6994897438059","-62.7200634814364"
"30","Nova Mamoré","-10.4117712947002","-65.3291490231466"
"51","Alvorada D'Oeste","-11.3441300234334","-62.2772748656972"
"43","Alto Alegre dos Parecis","-12.1317772245709","-61.8530771686029"
"46","Alto Paraíso","-9.71666673807728","-63.3176294334975"
"69","Buritis","-10.2098054072355","-63.8296787917565"
"19","Novo Horizonte do Oeste","-11.7097429200152","-61.9943876627606"
"17","Cacaulândia","-10.3388728393928","-62.9031899345687"
"44","Campo Novo de Rondônia","-10.5684164693485","-63.6249914265426"
"48","Candeias do Jamari","-8.78502070347747","-63.7000200718298"
"12","Castanheiras","-11.4268422254624","-61.9491611964662"
"27","Chupinguaia","-12.5568407610938","-60.9018477499554"
"27","Cujubim","-9.37819339905712","-62.5871745319209"
"23","Governador Jorge Teixeira","-10.6120717726075","-62.7404576394632"
"23","Itapuã do Oeste","-9.19187167532785","-63.1823370165183"
"28","Ministro Andreazza","-11.1962379841591","-61.5189219301053"
"34","Mirante da Serra","-11.045609289937","-62.6694270952566"
"37","Monte Negro","-10.263097755883","-63.2955591672175"
"21","Nova União","-10.9155320416628","-62.55508939888"
"15","Parecis","-12.1798270507077","-61.5979979726775"
"6","Pimenteiras do Oeste","-13.4765620024615","-61.0443790025384"
"13","Primavera de Rondônia","-11.8257069542468","-61.3165462429165"
"25","São Felipe D'Oeste","-11.9143893546886","-61.5125081133327"
"42","São Francisco do Guaporé","-12.0637984122334","-63.5708647107649"
"37","Seringueiras","-11.767116635607","-63.0387609977072"
"17","Teixeirópolis","-10.9321692860399","-62.2559222539546"
"32","Theobroma","-10.248730552026","-62.3451455299349"
"30","Urupá","-11.1285452756794","-62.3706324537666"
"26","Vale do Anari","-9.85139270806179","-62.1768234421278"
"33","Vale do Paraíso","-10.4310526845564","-62.1343903568098"
"44","Acrelândia","-10.0737938924635","-67.0523165800206"
"18","Assis Brasil","-10.9428656809172","-69.5634591746677"
"60","Brasiléia","-11.0164110190857","-68.7479434259584"
"12","Bujari","-9.82001962670937","-67.9518592792015"
"23","Capixaba","-10.5697677087927","-67.6735079719432"
"185","Cruzeiro do Sul","-7.63069000500981","-72.6725313174358"
"16","Epitaciolândia","-11.0282398279563","-68.7448680666749"
"49","Feijó","-8.16024753","-70.3539836082165"
